,id,zipcode,price,price_median,condition
6731,5111400086,98038,110000.0,342500.0,5
4812,1922059010,98030,140000.0,283000.0,5
12464,3977630130,98092,146300.0,309780.0,5
407,7116000425,98002,150000.0,235000.0,5
2850,2420069017,98022,152900.0,279500.0,5
19897,4337600005,98166,153000.0,392500.0,5
9232,418000310,98056,155000.0,380000.0,5
476,8581400450,98002,159995.0,235000.0,5
3025,1871400585,98022,160000.0,279500.0,5
5280,6146600185,98032,160000.0,250000.0,5
381,3021059155,98002,161500.0,235000.0,5
9332,425200205,98056,165000.0,380000.0,5
126,4463400195,98001,170000.0,260000.0,5
20798,7148200040,98188,173000.0,265000.0,5
20026,179000100,98168,174000.0,237000.0,5
7574,8651441750,98042,174950.0,292500.0,5
41,303000445,98001,175000.0,260000.0,5
3005,2420069242,98022,175000.0,279500.0,5
7360,8651402910,98042,176000.0,292500.0,5
7568,8651430870,98042,177000.0,292500.0,5
7350,8651430780,98042,178000.0,292500.0,5
5292,8857600220,98032,178500.0,250000.0,5
7628,8651410190,98042,179950.0,292500.0,5
7457,8651411070,98042,180000.0,292500.0,5
7634,8651430220,98042,183000.0,292500.0,5
3028,2420069268,98022,184900.0,279500.0,5
20156,8018600980,98168,187250.0,237000.0,5
455,7116500125,98002,189000.0,235000.0,5
499,9150100020,98002,189000.0,235000.0,5
7403,8651410740,98042,189000.0,292500.0,5
517,8581400015,98002,189900.0,235000.0,5
9322,424500100,98056,189900.0,380000.0,5
7626,8651410670,98042,189950.0,292500.0,5
9946,1423700680,98058,190000.0,335000.0,5
7544,8651400730,98042,191000.0,292500.0,5
9498,418000415,98056,191000.0,380000.0,5
14174,7883608693,98108,191000.0,345000.0,5
3003,1320069249,98022,192500.0,279500.0,5
2868,8005100025,98022,195000.0,279500.0,5
2996,5595900210,98022,195000.0,279500.0,5
7645,8651400580,98042,195000.0,292500.0,5
9720,1432400525,98058,195000.0,335000.0,5
7438,8651443360,98042,195700.0,292500.0,5
2881,853000261,98022,197500.0,279500.0,5
7340,7942100290,98042,199000.0,292500.0,5
9909,5126400230,98058,199000.0,335000.0,5
306,3353401340,98001,199900.0,260000.0,5
9413,418000330,98056,199950.0,380000.0,5
2258,844000425,98010,199999.0,359999.0,5
440,3339900640,98002,200000.0,235000.0,5
9286,421000185,98056,200000.0,380000.0,5
20087,1446404015,98168,200000.0,237000.0,5
2754,2129700142,98019,201000.0,401250.0,5
7439,6600400270,98042,202000.0,292500.0,5
495,6131600255,98002,202500.0,235000.0,5
7553,8651402700,98042,202950.0,292500.0,5
7270,8651401270,98042,203000.0,292500.0,5
4973,8802400896,98031,204995.0,289029.5,5
494,1450100420,98002,205000.0,235000.0,5
3143,5029450850,98023,205000.0,269000.0,5
3256,1099600090,98023,205000.0,269000.0,5
2860,5706500140,98022,205500.0,279500.0,5
2248,844001140,98010,206000.0,359999.0,5
20083,1446403305,98168,206000.0,237000.0,5
12392,3977630270,98092,206990.0,309780.0,5
16293,2658000215,98118,207000.0,370000.0,5
368,1450100070,98002,208000.0,235000.0,5
9303,7227502155,98056,208000.0,380000.0,5
19119,7889600080,98146,208000.0,312000.0,5
7266,8651410090,98042,209000.0,292500.0,5
7281,8651400750,98042,209950.0,292500.0,5
9504,421000500,98056,209995.0,380000.0,5
2841,1917300260,98022,210000.0,279500.0,5
2922,6018500120,98022,210000.0,279500.0,5
7248,8651441620,98042,210000.0,292500.0,5
20145,1623049145,98168,210000.0,237000.0,5
50,3750605349,98001,210500.0,260000.0,5
19904,2968801240,98166,211000.0,392500.0,5
20476,185000118,98178,212000.0,279500.0,5
20528,1180008315,98178,212000.0,279500.0,5
2283,3622069050,98010,212644.0,359999.0,5
2305,3222079136,98010,213000.0,359999.0,5
7417,8651411460,98042,214000.0,292500.0,5
254,321049193,98001,215000.0,260000.0,5
444,1921059235,98002,215000.0,235000.0,5
2932,8005100540,98022,215000.0,279500.0,5
3228,9202000080,98023,215000.0,269000.0,5
7349,2212900920,98042,215000.0,292500.0,5
7482,6600400370,98042,215000.0,292500.0,5
7640,8651430210,98042,217000.0,292500.0,5
9517,7227500740,98056,217000.0,380000.0,5
2837,5437820310,98022,218000.0,279500.0,5
7492,8651411420,98042,218000.0,292500.0,5
2877,2320069206,98022,219000.0,279500.0,5
508,7335400020,98002,219500.0,235000.0,5
2991,2372800145,98022,219950.0,279500.0,5
7616,8651402750,98042,219950.0,292500.0,5
2893,2372800050,98022,220000.0,279500.0,5
7419,2212900180,98042,220000.0,292500.0,5
8969,7231502505,98055,220000.0,297225.0,5
12368,7749500160,98092,220000.0,309780.0,5
19983,795000820,98168,220000.0,237000.0,5
9333,7227500450,98056,222900.0,380000.0,5
20625,3348401622,98178,223000.0,279500.0,5
711,2821049082,98003,225000.0,269500.0,5
2843,7710100083,98022,225000.0,279500.0,5
3022,8091600080,98022,225000.0,279500.0,5
18914,84000335,98146,225000.0,312000.0,5
9623,5112800421,98058,225500.0,335000.0,5
7682,621069154,98042,226000.0,292500.0,5
2896,8029200190,98022,227000.0,279500.0,5
7,3353401710,98001,227950.0,260000.0,5
526,7335400065,98002,229950.0,235000.0,5
3471,5029450290,98023,230000.0,269000.0,5
3475,8944300010,98023,230000.0,269000.0,5
7427,7942100180,98042,230000.0,292500.0,5
7563,8651441210,98042,230000.0,292500.0,5
7653,8092500720,98042,230000.0,292500.0,5
2964,5595900316,98022,231000.0,279500.0,5
19953,6082400260,98168,231500.0,237000.0,5
7203,7942100310,98042,232000.0,292500.0,5
9390,7227801580,98056,232000.0,380000.0,5
360,1202000200,98002,233000.0,235000.0,5
523,9499200220,98002,234000.0,235000.0,5
7358,1274500420,98042,234000.0,292500.0,5
20874,1697000370,98198,234000.0,266750.0,5
2890,5595900280,98022,235000.0,279500.0,5
7551,2569600150,98042,235000.0,292500.0,5
9085,5365200040,98055,235000.0,297225.0,5
17491,5347200160,98126,235000.0,396587.5,5
20132,42000006,98168,235000.0,237000.0,5
20515,8068000585,98178,235000.0,279500.0,5
9338,420000085,98056,238000.0,380000.0,5
12961,1172000150,98103,238000.0,550000.0,5
9793,5126400150,98058,239950.0,335000.0,5
137,3750603940,98001,240000.0,260000.0,5
787,4222310680,98003,240000.0,269500.0,5
7873,7334500120,98045,240000.0,399500.0,5
9252,7227501450,98056,240000.0,380000.0,5
5077,1355000220,98031,243000.0,289029.5,5
3036,920069052,98022,243950.0,279500.0,5
19644,6163901380,98155,244000.0,377225.0,5
3042,2372800100,98022,245000.0,279500.0,5
6291,1545808560,98038,245000.0,342500.0,5
9526,9476200650,98056,245000.0,380000.0,5
16341,3419600125,98118,245000.0,370000.0,5
18678,3644100072,98144,245000.0,452500.0,5
18802,3644100073,98144,245000.0,452500.0,5
20711,5379805460,98188,245000.0,265000.0,5
20741,1003600080,98188,245000.0,265000.0,5
19791,1218000025,98166,246000.0,392500.0,5
3304,395800370,98023,246600.0,269000.0,5
174,7905400160,98001,246900.0,260000.0,5
184,1311000270,98001,247000.0,260000.0,5
7308,2522059112,98042,248500.0,292500.0,5
5226,3686900025,98032,249000.0,250000.0,5
9244,3343903640,98056,249000.0,380000.0,5
9901,1432701510,98058,249000.0,335000.0,5
20769,4435000490,98188,249000.0,265000.0,5
17,3353400860,98001,249900.0,260000.0,5
7409,8092700230,98042,249950.0,292500.0,5
9699,1423600300,98058,249950.0,335000.0,5
66,1311000600,98001,250000.0,260000.0,5
4935,2796100160,98031,250000.0,289029.5,5
6492,1545801970,98038,250000.0,342500.0,5
9434,424500035,98056,250000.0,380000.0,5
9507,7227501190,98056,250000.0,380000.0,5
9535,9476200580,98056,250000.0,380000.0,5
12484,7524600120,98092,250000.0,309780.0,5
17497,7454000030,98126,250000.0,396587.5,5
2869,5602000025,98022,251000.0,279500.0,5
20584,4279900140,98178,251000.0,279500.0,5
5054,1761300340,98031,251750.0,289029.5,5
20468,3352402236,98178,252500.0,279500.0,5
7461,1796380060,98042,253000.0,292500.0,5
9130,7224500010,98055,253000.0,297225.0,5
20664,4060000290,98178,253000.0,279500.0,5
810,3584000180,98003,253400.0,269500.0,5
2958,2220069196,98022,253500.0,279500.0,5
9296,7789000080,98056,253905.0,380000.0,5
102,321049090,98001,254000.0,260000.0,5
9488,9476200020,98056,254000.0,380000.0,5
6733,1545806720,98038,254950.0,342500.0,5
2950,1645000710,98022,255000.0,279500.0,5
4917,3387900390,98031,255000.0,289029.5,5
7199,1796360350,98042,255000.0,292500.0,5
7365,2618300190,98042,255000.0,292500.0,5
7584,5547500050,98042,255000.0,292500.0,5
16499,3031200120,98118,255000.0,370000.0,5
20964,6052401215,98198,255000.0,266750.0,5
12424,3521059042,98092,255500.0,309780.0,5
10011,5112800210,98058,255950.0,335000.0,5
2245,8100000090,98010,256000.0,359999.0,5
9080,6623400193,98055,257000.0,297225.0,5
